2018-09-03 16:55:59 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:55:59 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:00 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:01 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:01 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 16:56:01 | StepLineTableStepController.java |  | ERROR | reportsLogger : New Error
2018-09-03 17:00:28 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:29 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:29 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:30 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:31 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:32 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:34 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:38 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:39 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:41 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:52 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:55 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:00:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:00:59 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:01:00 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:01 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:02 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:03 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:04 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:01:05 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:06 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:01:08 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:09 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:10 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:01:45 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:46 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:48 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:48 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:49 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:01:49 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:13 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:15 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:17 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:02:21 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:25 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:02:28 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:30 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:02:36 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:38 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:40 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:44 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:46 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:02:47 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:49 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:53 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:02:55 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:02:59 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:01 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:03:03 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:06 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:08 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:10 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:14 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:03:17 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:16:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:16:57 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:16:58 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:16:59 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:17:01 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:19 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:18:21 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:23 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:18:24 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:28 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:18:30 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:32 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:18:33 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:18:35 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:18:38 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move down step
2018-09-03 17:18:40 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:42 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:45 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:18:46 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:18:48 | StepLineTableStepController.java |  |  INFO | reportsLogger : Expand step
2018-09-03 17:18:50 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:52 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
2018-09-03 17:18:54 | StepLineTableStepController.java |  |  INFO | reportsLogger : Move up step
